,confidence,sentence,arg1,rel,arg2,negated,passive,is_valuable,is_valuable_rel,is_valuable_arg2
10,0.7833813375237394,"The vice-presidential balloting went on so long that Senator Thomas Eagleton of Missouri, who accepted offer Eagleton were forced to begin making Senator Thomas Eagleton of Missouri, who accepted offer acceptance speeches at around 2 am, local time.",The vice-presidential balloting,went on,so long,0.0,1.0,1.0,1.0,0.0
11,0.9007337660562444,"A Time magazine poll taken at time found that 77 percent of respondents said, ""Eagleton's medical record would not affect respondents vote. """,77 percent of respondents,said,Eagleton's medical record would not affect respondents vote,0.0,0.0,1.0,1.0,1.0
12,0.3720632401567084,"Nonetheless, press made frequent references to Eagleton had ""shock therapy"", and McGovern feared that this would detract from McGovern campaign platform.",this,would detract,from McGovern campaign platform,0.0,1.0,0.0,1.0,1.0
13,0.9329286852051247,"McGovern later approached six prominent Democrats to run for vice president: Ted Kennedy, Edmund Muskie, Hubert Humphrey, Abraham Ribicoff, Larry O'Brien, and Reubin Askew.",six prominent Democrats,to run,for vice president,0.0,0.0,1.0,0.0,1.0
14,0.9382554258342916,"Sargent Shriver, brother-in-law to John, Robert, and Ted Kennedy, former Ambassador to France, and former Director of Peace Corps was officially nominated by a special session of Democratic National Committee.",Ted Kennedy,was officially nominated,by a special session of Democratic National Committee,0.0,1.0,1.0,1.0,1.0
15,0.9180804252893389,The bill was approved by Senate in a 54-46 vote and was approved by House of Representatives 247-175.,The bill,was approved,by House of Representatives 247-175,0.0,1.0,1.0,1.0,1.0
16,0.9644677377549717,"On May 2, 2019, Senate Senate failed to reach two-thirds majority vote in order to override veto.",Senate Senate,failed,to reach two-thirds majority vote in order,0.0,1.0,0.0,1.0,1.0
17,0.8742731192983911,the Senate Majority Leader Mitch McConnell said Senate Majority Leader Mitch McConnell would set up a classified briefing for all senators.,Senate Majority Leader Mitch McConnell,would set up,a classified briefing for all senators,0.0,0.0,1.0,1.0,1.0
18,0.9180804252893389,Senator Tim Kaine had already introduced a resolution to prevent U. S. Armed Forces or any part of government to use hostilities against Iran.,a resolution,to prevent,U. S. Armed Forces or any part of government,0.0,0.0,0.0,0.0,0.0
19,0.9436221120476838,"Senator Bernie Sanders and Representative Ro Khanna introduced an anti-funding resolution, also on January 3.",Senator Bernie Sanders,introduced,an anti-funding resolution,0.0,0.0,1.0,1.0,1.0
20,0.9184468840679382,"Kaine stated The Trump Administration's veto could enable ""endless wars"" and ""unnecessary war in Middle East"".",The Trump Administration's veto,could enable,endless wars,0.0,0.0,1.0,1.0,1.0
21,0.8638966457783381,"Under Necessary and Proper Clause, Proper is specifically provided that Congress Congress shall have power to make all laws necessary and proper for carrying into execution, not only its own powers but also all other powers vested by Constitution in Government of United States, or in any department or officer thereof.",Congress Congress,shall have to make,all laws necessary and proper,0.0,0.0,0.0,1.0,1.0
22,0.8189890236968402,"Under Necessary and Proper Clause, Proper is specifically provided that Congress Congress shall have power to make all laws necessary and proper for carrying into execution, not only its own powers but also all other powers vested by Constitution in Government of United States, or in any department or officer thereof.",Proper,is provided,that Congress Congress shall have power,0.0,1.0,0.0,1.0,1.0
23,0.8523603190289998,"One argument for unconstitutionality of The War Powers Resolution by Philip Bobbitt argues ""The power to make war is not an enumerated power"" and notion that to ""declare"" war is to ""commence"" war is a ""contemporary textual preconception"".",war,is,"to "" commence "" war",0.0,1.0,0.0,1.0,0.0
24,0.9768282564283066,"One argument for unconstitutionality of The War Powers Resolution by Philip Bobbitt argues ""The power to make war is not an enumerated power"" and notion that to ""declare"" war is to ""commence"" war is a ""contemporary textual preconception"".","is not an enumerated notion that to "" declare "" war is to "" commence "" war",is,"a "" contemporary textual preconception",0.0,1.0,0.0,1.0,1.0
25,0.802693657308823,"Philip Bobbitt contends that Framers of Constitution believed that statutory authorization was route by which United States would be committed to war, and that 'declaration' was meant for only total wars, as shown by history of Quasi-War with France.",Framers of Constitution,believed,that statutory authorization was route,0.0,0.0,1.0,1.0,0.0
26,0.957537172965877,French colonists in small villages along Mississippi and Illinois rivers lived in farming communities that served as a grain source for Gulf Coast settlements.,French colonists in small villages along Illinois rivers,lived,in farming communities,0.0,0.0,1.0,1.0,1.0
27,0.9609912497205363,"The first British colony in North America was established at Roanoke by Walter Raleigh in 1585, but failed.",The first British colony in North America,was established,at Roanoke,0.0,1.0,1.0,1.0,1.0
28,0.4517038250665665,It would be twenty years before another attempt.,It,would be,twenty years before another attempt,0.0,1.0,0.0,1.0,1.0
29,0.9186941924198344,"The early British colonies were established by private groups seeking profit, and were marked by starvation, disease, and Native American attacks.",The early British colonies,were marked,by Native American attacks,0.0,1.0,1.0,1.0,1.0
30,0.2055944467122199,"Many immigrants were people seeking religious freedom or escaping political oppression, peasants displaced by Industrial Revolution, or those simply seeking adventure and opportunity.",those,seeking,adventure and opportunity,0.0,0.0,0.0,1.0,1.0
31,0.8772656277736296,"Many immigrants were people seeking religious freedom or escaping political oppression, peasants displaced by Industrial Revolution, or those simply seeking adventure and opportunity.",people,escaping,political oppression,0.0,0.0,0.0,1.0,1.0
32,0.9372494423173455,"Many immigrants were people seeking religious freedom or escaping political oppression, peasants displaced by Industrial Revolution, or those simply seeking adventure and opportunity.",Many immigrants,were,"people seeking religious freedom or escaping political oppression, peasants",0.0,1.0,0.0,1.0,1.0
33,0.9030401971054747,Virgin forests provided an ample supply of building material and firewood.,Virgin forests,provided,an ample supply of firewood,0.0,0.0,1.0,1.0,1.0
34,0.9449486126097173,"The first successful English colony, Jamestown, was established by Virginia Company in 1607 on James River in Virginia.",The first successful English colony,was established,by Virginia Company,0.0,1.0,1.0,1.0,1.0
35,0.9436221120476838,"Captain John Smith held fledgling Jamestown together in first year, and Jamestown descended into anarchy and nearly failed when Captain John Smith returned to England two years later.",Captain John Smith,returned,to England,0.0,1.0,1.0,1.0,1.0
36,0.9197759696552441,"Captain John Smith held fledgling Jamestown together in first year, and Jamestown descended into anarchy and nearly failed when Captain John Smith returned to England two years later.",Jamestown,descended,into anarchy,0.0,0.0,1.0,1.0,1.0
37,0.9180804252893389,"Other colonists established settlements in Connecticut River Valley, and on coasts of present-day New Hampshire and Maine.",Other colonists,established,settlements on coasts of present - day Maine,0.0,0.0,0.0,1.0,1.0
38,0.6129699864385257,"Native American attacks continued, with most significant occurring in 1637 Pequot War and 1675 King Philip's War.",most significant,occurring,in 1637 Pequot War,0.0,1.0,0.0,1.0,1.0
39,0.9197759696552441,"England became a center of commerce and industry due to poor, mountainous soil making agriculture difficult.",England,became,a center of commerce and industry due to poor,0.0,1.0,1.0,1.0,0.0
40,0.9291229454360607,"In 1660s, Middle Colonies of New York, New Jersey, and Delaware were established in former Dutch New Netherland, and were characterized by a large degree of ethnic and religious diversity.","Middle Colonies of New York, New Jersey, and Delaware",were characterized,by a large degree of ethnic and religious diversity,0.0,1.0,1.0,1.0,1.0
41,0.4328394458044063,"He established a constitutional monarchy, deposing last Qajar Shah, Ahmed Shah, in 1925 and being designated monarch by National Assembly, to be known thenceforth as Reza Shah, founder of Pahlavi dynasty.",He,established,a constitutional monarchy,0.0,0.0,0.0,1.0,1.0
42,0.9374631285472459,"There were widespread social, economic, and political reforms introduced during He reign, a number of which led to public discontent that would provide circumstances for Constitutional Revolution.",a number of which,led,to public discontent,0.0,0.0,0.0,1.0,1.0
43,0.9105129651916236,"In 1935, dozens were killed and hundreds injured in Goharshad Mosque rebellion.",hundreds,injured,in Goharshad Mosque rebellion,0.0,1.0,0.0,1.0,1.0
44,0.8161075568799092,"In 1935, dozens were killed and hundreds injured in Goharshad Mosque rebellion.",dozens,were killed,In 1935,0.0,1.0,0.0,1.0,1.0
45,0.9731698721238002,"On other hand, during early rise of Reza Shah, Abdul-Karim Ha'eri Yazdi founded Qom Seminary and created important changes in seminaries.",Abdul - Karim Ha'eri Yazdi,founded,Qom Seminary,0.0,0.0,1.0,1.0,1.0
46,0.4953178616921359,"However, future Ayatollah Khomeini was a student of Sheikh Abdul Karim Ha'eri.",future Ayatollah Khomeini,was a student of,Sheikh Abdul Karim Ha'eri,0.0,0.0,0.0,1.0,1.0
47,0.9622360997484253,"From 1901 on, Anglo-Persian Oil Company , a British oil company, enjoyed a monopoly on sale and production of Iranian oil.",Anglo - Persian Oil Company,enjoyed,a monopoly on production of Iranian oil,0.0,0.0,1.0,1.0,1.0
48,0.5222094630377523,It was most profitable British business in world.,It,was,most profitable British business in world,0.0,1.0,0.0,1.0,1.0
49,0.960026968542485,Most Iranians lived in poverty while wealth generated from Iranian oil played a decisive role in maintaining Britain at top of world.,wealth generated from Iranian oil,played,a decisive role in maintaining Britain at top of world,0.0,0.0,1.0,1.0,1.0
50,0.9781568256153943,"In 1951, Iranian Prime Minister Mohammad Mosaddegh pledged to throw Anglo-Persian Oil Company , a British oil company out of Iran, reclaim petroleum reserves and free Iran from foreign powers.",Iranian Prime Minister Mohammad Mosaddegh,pledged,"to throw Anglo - Persian Oil Company , a British oil company out of Iran",0.0,0.0,1.0,1.0,1.0
51,0.2923646925903067,"British considered an armed invasion, but UK Prime Minister Winston Churchill decided on a coup after being refused American military support by U. S. President Harry S. Truman, who sympathized with nationalist movements like Iranian Prime Minister Mohammad Mosaddegh's and had nothing but contempt for old-style imperialists like those who ran Anglo-Iranian Oil Company.",those,ran,Anglo - Iranian Oil Company,0.0,0.0,0.0,1.0,1.0
52,0.9397730785408615,"British considered an armed invasion, but UK Prime Minister Winston Churchill decided on a coup after being refused American military support by U. S. President Harry S. Truman, who sympathized with nationalist movements like Iranian Prime Minister Mohammad Mosaddegh's and had nothing but contempt for old-style imperialists like those who ran Anglo-Iranian Oil Company.",U. S. President Harry S. Truman,sympathized,with nationalist movements like Iranian Prime Minister Mohammad Mosaddegh 's,0.0,0.0,1.0,1.0,1.0
53,0.5444088301032625,"British considered an armed invasion, but UK Prime Minister Winston Churchill decided on a coup after being refused American military support by U. S. President Harry S. Truman, who sympathized with nationalist movements like Iranian Prime Minister Mohammad Mosaddegh's and had nothing but contempt for old-style imperialists like those who ran Anglo-Iranian Oil Company.",British,considered,an armed invasion,0.0,0.0,1.0,1.0,1.0
54,0.4765049347280757,"Although British were initially turned down in their request for American support by President Truman, election of Dwight D. Eisenhower as U. S. president in November 1952 changed American stance toward conflict.",British,were turned down,in their request for American support by President Truman,0.0,1.0,1.0,1.0,1.0
55,0.8943717032877142,"Director Allen Dulles, told U. S. Secretary of State John Foster Dulles and his brother, C. 1.",Director Allen Dulles,told,his brother,0.0,0.0,1.0,1.0,0.0
56,0.9180804252893389,"In their British counterparts eyes, any country not decisively allied with United States was a potential enemy.",any country,not decisively allied,with United States,1.0,1.0,0.0,1.0,1.0
57,0.9485955390117107,"the United States had immense oil wealth, a long border with Soviet Union, and a nationalist prime minister.",the United States,had,immense oil wealth,0.0,0.0,1.0,1.0,1.0
58,0.9379034816638485,The first time someone was charged for hate speech over internet occurred on 27 March 1996.,someone,was charged,for hate speech over internet,0.0,1.0,0.0,1.0,1.0
59,0.95709374506516,"""A Winnipeg teenager was arrested by police for sending an email to a local political activist that contained message ""Death to homosexuals.",A Winnipeg teenager,was arrested,by police for sending an email to a local political activist,0.0,1.0,1.0,1.0,1.0
60,0.4978219019954182,. . it's prescribed in Bible!,it,'s prescribed,in Bible,0.0,1.0,0.0,0.0,1.0
61,0.9324144673478683,"Better watch out next Gay Pride Week. '""",Better,watch out,next Gay Pride Week,0.0,0.0,0.0,1.0,1.0
62,0.9703210197816324,"During COVID-19 pandemic, Canada saw a sudden rise in hate crimes based on race, religion, and sexual orientation.",Canada,saw,a sudden rise in hate crimes,0.0,0.0,1.0,1.0,1.0
63,0.8968933196674548,"Alejandro Gertz Manero, Attorney General of Mexico, recommended in August 2020 that all murders involving women be investigated as femicides.",all murders involving women,be investigated,as femicides,0.0,1.0,1.0,0.0,1.0
64,0.9256263201643982,An average of 11 women are killed every day.,An average of 11 women,are killed,every day,0.0,1.0,1.0,1.0,1.0
65,0.7510469539050182,"Murders of LGBTQ individuals are not legally classified as hate crimes in Mexico, although Luis Guzman of Cohesion de Diversidades para la Sustentabilidad notes that there is a lot of homophobia in Mexico, particularly in states of Veracruz, Chihuahua, and Michoacan.",Murders of LGBTQ individuals,are not legally classified,as hate crimes in Mexico,1.0,1.0,1.0,1.0,1.0
66,0.9250606141558615,Hate crime laws have a long history in United States.,Hate crime laws,have,a long history in United States,0.0,0.0,1.0,1.0,1.0
67,0.1548762602650873,"2, was passed in 1978 and provided penalty enhancements in cases when murders were motivated by prejudice against four ""protected status"" categories: race, religion, color, and national origin.",2,was passed,in 1978,0.0,1.0,0.0,1.0,1.0
68,0.3808945036672451,"Defined in 1999 National Crime Victim Survey, ""A hate crime is a criminal offence.",Survey,[is] Victim [of],National Crime,0.0,0.0,0.0,0.0,1.0
69,0.9583616991481964,"In 2009, capping a broad-based public campaign lasting more than a decade, President Barack Obama signed into law The Act.",President Barack Obama,signed,into law,0.0,0.0,0.0,1.0,0.0
70,0.6660984188640352,It later escalated into a major civil war between Greek state and communists.,It,escalated,into a major civil war between Greek state and communists,0.0,1.0,0.0,1.0,1.0
71,0.9472929138282772,The war resulted from a highly-polarised struggle between left and right ideologies that started when each side targeted power vacuum resulting from end of Axis occupation during World War 2.,each side,targeted,power vacuum resulting from end of Axis occupation during World War 2,0.0,0.0,0.0,1.0,1.0
72,0.9372494423173455,The war resulted from a highly-polarised struggle between left and right ideologies that started when each side targeted power vacuum resulting from end of Axis occupation during World War 2.,The war,resulted,from a highly-polarised struggle between left and right ideologies,0.0,1.0,1.0,1.0,1.0
73,0.9296483635472672,"Greece in end was funded by United States and joined NATO , while insurgents were demoralized by bitter split between Soviet Union's Joseph Stalin, who wanted to end The war, and Yugoslavia's Josip Broz Tito, who wanted Greece to continue.",Yugoslavia 's Josip Broz Tito,wanted,Greece to continue,0.0,0.0,1.0,1.0,0.0
74,0.916538904772937,"Greece in end was funded by United States and joined NATO , while insurgents were demoralized by bitter split between Soviet Union's Joseph Stalin, who wanted to end The war, and Yugoslavia's Josip Broz Tito, who wanted Greece to continue.",Soviet Union 's Joseph Stalin,wanted to end,The war,0.0,0.0,1.0,1.0,1.0
75,0.954194008328487,"Greece in end was funded by United States and joined NATO , while insurgents were demoralized by bitter split between Soviet Union's Joseph Stalin, who wanted to end The war, and Yugoslavia's Josip Broz Tito, who wanted Greece to continue.",Greece,was funded,by United States,0.0,1.0,1.0,1.0,1.0
76,0.7912254410667223,"While Axis forces approached Athens in April 1941, King George 2 and his government escaped to Egypt, where King George 2 and his government proclaimed a government-in-exile, recognised by UK but not by Soviet Union.",his government,escaped,to Egypt,0.0,0.0,0.0,1.0,1.0
77,0.9610033692204465,"At same time, Germans set up a collaborationist government in Athens, which lacked legitimacy and support.",Germans,set up,a collaborationist government,0.0,0.0,1.0,1.0,1.0
78,0.9320111551042786,The power vacuum that occupation created was filled by several resistance movements that ranged from royalist to communist ideologies.,The power vacuum that occupation created,was filled,by several resistance movements,0.0,1.0,1.0,1.0,1.0
79,0.9524232899707616,"Resistance was born first in eastern Macedonia and Thrace, where Bulgarian troops occupied Greek territory.",Bulgarian troops,occupied,Greek territory,0.0,0.0,1.0,1.0,1.0
80,0.9339862216393666,"However, largest group to emerge was National Liberation Front , founded on 27 September 1941 by representatives of four left-wing parties.",National Liberation Front,founded,on 27 September 1941,0.0,1.0,1.0,1.0,1.0
81,0.9474743154665046,"However, largest group to emerge was National Liberation Front , founded on 27 September 1941 by representatives of four left-wing parties.",largest group to emerge,was,National Liberation Front,0.0,1.0,0.0,1.0,1.0
82,0.9111779447320654,These resistance groups launched attacks against occupying powers and set up large espionage networks.,These resistance groups,launched,attacks against occupying powers,0.0,0.0,0.0,1.0,1.0
83,0.9296483635472672,"The communist leaders of EAM, however, had planned to dominate in postwar Greece, so, usually by force, These resistance groups tried to take over or destroy other Greek resistance groups and murder of Greek leader, Dimitrios Psarros by Greek People's Liberation Army partisans[citation needed] and undertaking a campaign of Red Terror.",The communist leaders of EAM,had planned to dominate,in postwar Greece,0.0,0.0,1.0,1.0,1.0
84,0.957689556831049,"When liberation came in October 1944, postwar Greece was in a state of crisis, which soon led to outbreak of civil war.",a state of crisis,led,to outbreak of civil war,0.0,0.0,0.0,1.0,1.0
85,0.9169884650944797,"Although controlled by Communist Party of postwar Greece , organization had democratic republican rhetoric postwar Greece military wing, ELAS was founded in February 1942.",ELAS,was founded,in February 1942,0.0,1.0,1.0,1.0,1.0
86,0.8818110676393391,"Nonetheless, Congress still managed to pass important laws, most notably Northwest Ordinance of 1787.",Congress,managed to pass,important laws,0.0,0.0,1.0,1.0,1.0
87,0.9729999899864197,"In 1784, total Confederation debt was nearly 40 million.",total Confederation debt,was,nearly 40 million,0.0,0.0,1.0,1.0,1.0
88,0.9047898841628703,"To pay interest and principal of total Confederation debt, Congress had twice proposed an amendment to Articles granting total Confederation debt power to lay a 5% duty on imports, but amendments to Articles required consent of all thirteen states: 1781 impost plan had been rejected by Rhode Island and Virginia, while revised plan, discussed in 1783, was rejected by New York.",1781 impost plan,had been rejected,by Rhode Island and Virginia,0.0,1.0,1.0,1.0,1.0
89,0.9226285404777532,"Meanwhile, all thirteen states regularly failed or refused to meet requisitions requested of all thirteen states by Congress.",all thirteen states,refused,to meet requisitions,0.0,0.0,1.0,1.0,1.0
90,0.9186941924198344,The later Annapolis Convention with some additional state representatives joining in sessions first attempted to look into improving earlier original Articles of Confederation and Perpetual Union.,some additional state representatives,joining,in sessions,0.0,0.0,1.0,1.0,0.0
91,0.9663645487071277,"Congress received and submitted new Constitution document to all thirteen states, and a proposed new Constitution for United States was later ratified by enough states to become operative in June 1788.",a proposed new Constitution for United States,was ratified,by enough states,0.0,1.0,1.0,1.0,1.0
92,0.9105129651916236,"On September 13, 1788, Congress set date for choosing new Electors in Electoral College that was set up for choosing a President as January 7, 1789, date for Electors to vote for a President as on February 4, 1789, and date for a proposed new Constitution for United States to become operative as March 4, 1789, when new Congress of all thirteen states should convene, and that new Congress of United States at a later date set time and place for Inauguration of new first President of all thirteen states.",Electors,to vote,for a President,0.0,0.0,1.0,0.0,1.0
93,0.9990000128746033,"This assessment met some debate in medical community: at time, United States had roughly 400 deaths from disease per day, and when extrapolated to 150,000 per year is three times fatality rate of a bad flu season.",United States,had,roughly 400 deaths,0.0,0.0,1.0,1.0,1.0
94,0.9879999756813049,The number of cases for months of July through September 2022 was about 0.,cases,had The number of,about 0,0.0,0.0,0.0,0.0,1.0
95,0.3807929516789891,"5 appeared to be spreading quickly, but comprised only a small proportion of overall variants.",5,comprised,only a small proportion of overall variants,0.0,1.0,0.0,1.0,1.0
96,0.9527410621066101,"Although variant XBB was of concern internationally, variant XBB was rare in United States.",variant XBB,was,rare in United States,0.0,1.0,1.0,1.0,1.0
97,0.9256263201643982,"Recommendations for receiving vaccination booster shots are mixed: while populations at risk of severe disease and death should stay up-to-date, healthy, middle-aged-and-younger populations are rarely at risk of severe illness, and most have adequate immunity.",populations at risk of death,should stay,up - to - date,0.0,1.0,1.0,1.0,1.0
98,0.3807929516789891,"Recommendations for receiving vaccination booster shots are mixed: while populations at risk of severe disease and death should stay up-to-date, healthy, middle-aged-and-younger populations are rarely at risk of severe illness, and most have adequate immunity.",most,have,adequate immunity,0.0,0.0,0.0,1.0,1.0
99,0.8876082651439079,"In a survey of vaccination booster intake , about 15% reported receiving updated booster.",about 15%,reported receiving,updated booster,0.0,0.0,0.0,1.0,1.0
100,0.9052256377408016,"The rates varied racially with 19% among White, non-Hispanic people, about 11% among Hispanic people, and about 7% among non-Hispanic American Indians, Alaska Native people, Black people, and those of multiple races, leading to concerns of vaccination access inequity.",those of multiple races,leading,to concerns of vaccination access inequity,0.0,0.0,0.0,1.0,1.0
101,0.7188898166893187,"Nonetheless, Dr. Anthony Fauci stated that Biden administration felt that there was ""enough community protection that Biden administration're not going to see a repeat of what Biden administration saw last year at this time,"" referring to emergence of Omicron variant.",Biden administration,felt,"that there was ""enough community protection",0.0,0.0,1.0,1.0,0.0
102,0.263111865735908,A study of vaccine effectiveness found that U. S. -authorized bivalent mRNA boosters to those having already received 2 to 4 monovalent vaccinations provided significant additional protection against symptomatic SARS-CoV-2.,those,having received,2 to 4 monovalent vaccinations,0.0,0.0,0.0,1.0,1.0
103,0.9512494280120677,"Concerns of a surge in Beijing caused Biden administration to require U. S. visitors from China, Hong Kong, and Macau to provide proof of COVID-19 negative test results.",Biden administration,to require,U. S. visitors from Macau,0.0,0.0,1.0,0.0,1.0
104,0.9530647582435334,"Concerns of a surge in Beijing caused Biden administration to require U. S. visitors from China, Hong Kong, and Macau to provide proof of COVID-19 negative test results.",U. S. visitors from Macau,to provide,proof of COVID - 19 negative test results,0.0,0.0,1.0,0.0,1.0
105,0.9105129651916236,"On January 11, 2023, Biden administration decided to renew COVID-19 public health emergency amid a winter surge of cases related to highly transmissible Omicron subvariants.",cases,related,to highly transmissible Omicron subvariants,0.0,1.0,0.0,1.0,1.0
106,0.9030401971054747,"With relief measures such as automatic Medicaid re-enrollment being decoupled from emergency declaration, some commentators believed this signaled final extension of emergency declaration.",some commentators,believed,this signaled final extension of emergency declaration,0.0,0.0,0.0,1.0,0.0
107,0.9147812834867436,"Although some states had already ended emergency SNAP benefits enacted during pandemic, USDA announced that emergency allotments for remaining 32 states, District of Columbia, Guam, and U. S. Virgin Islands would end after February 2023 distribution.",emergency allotments for remaining 32 states,would end,after February 2023 distribution,0.0,1.0,1.0,1.0,1.0
108,0.9156957434813364,"Although some states had already ended emergency SNAP benefits enacted during pandemic, USDA announced that emergency allotments for remaining 32 states, District of Columbia, Guam, and U. S. Virgin Islands would end after February 2023 distribution.",some states,had ended,emergency SNAP benefits enacted during pandemic,0.0,0.0,0.0,1.0,1.0
109,0.935991316758338,"A single inscription by Pilate is as follows: Vardaman ""freely"" translates it as follows: ""Tiberium [?of Caesareans?]",A single inscription by Pilate,is,"as follows: Vardaman ""freely"" translates it",0.0,1.0,1.0,1.0,0.0
110,0.9105129651916236,"the ""Pilate Stone"" attests Pilate's title of prefect and A single inscription by Pilate appears to refer to some kind of building called a Tiberieum, a word otherwise unattested but following a pattern of naming buildings about Roman emperors.",building,called,a Tiberieum,0.0,1.0,0.0,1.0,1.0
111,0.3974606468209441,Bond argues that we cannot be sure what kind of building this referred to.,we,can not be,sure what kind of building this referred to,1.0,1.0,0.0,1.0,1.0
112,0.5129232809985469,"G. Alfoldy argued that it was some sort of secular building, namely a lighthouse, while Joan Taylor and Jerry Vardaman argue that it was a temple dedicated to Tiberius.",it,was,a temple dedicated to Tiberius,0.0,1.0,0.0,1.0,1.0
113,0.6672051005032322,"G. Alfoldy argued that it was some sort of secular building, namely a lighthouse, while Joan Taylor and Jerry Vardaman argue that it was a temple dedicated to Tiberius.",Jerry Vardaman,argue,that it was a temple,0.0,0.0,1.0,1.0,1.0
114,0.4667063855863067,"G. Alfoldy argued that it was some sort of secular building, namely a lighthouse, while Joan Taylor and Jerry Vardaman argue that it was a temple dedicated to Tiberius.",it,was,some sort of secular building,0.0,1.0,0.0,1.0,1.0
115,0.9374058759955192,"It was a fragmentary, undated inscription on a large piece of marble recorded in Ameria, a village in Umbria, Italy.",a large piece of marble,recorded,in Ameria,0.0,1.0,1.0,1.0,1.0
116,0.6367319478431899,"It was a fragmentary, undated inscription on a large piece of marble recorded in Ameria, a village in Umbria, Italy.",It,was,"a fragmentary, undated inscription on a large piece of marble",0.0,1.0,0.0,1.0,1.0
117,0.3853208301752743,"A single inscription by Pilate read as follows: The only clear items of text are names ""Pontius Pilate"" and title quattuorvir , a type of local city official responsible for conducting a census every five years.",text,are a type of,local city official,0.0,0.0,0.0,1.0,1.0
118,0.8264892452590571,"A single inscription by Pilate read as follows: The only clear items of text are names ""Pontius Pilate"" and title quattuorvir , a type of local city official responsible for conducting a census every five years.",A single inscription by Pilate,read,as follows,0.0,1.0,1.0,1.0,0.0
119,0.8952588623679987,"The more recent scholars Alexander Demandt and Henry MacAdam both believe that A single inscription by Pilate is genuine, but attests to a person who simply had same cognomen as Pontius Pilate.",Henry MacAdam,believe,attests to a person,0.0,0.0,1.0,1.0,0.0
120,0.9126241552108846,"The more recent scholars Alexander Demandt and Henry MacAdam both believe that A single inscription by Pilate is genuine, but attests to a person who simply had same cognomen as Pontius Pilate.",a person,had,same cognomen,0.0,0.0,0.0,1.0,1.0
121,0.5222094630377523,"MacAdam argues that ""t is far easier to believe that A single inscription by Pilate prompted legend of Pontius Pilate's association with Italian village of Ameria than it is to posit someone forging A single inscription by Pilate two centuries ago--quite creatively, it would seem--to provide substance for legend. """,it,is,to posit someone,0.0,1.0,0.0,1.0,0.0
122,0.9105129651916236,"MacAdam argues that ""t is far easier to believe that A single inscription by Pilate prompted legend of Pontius Pilate's association with Italian village of Ameria than it is to posit someone forging A single inscription by Pilate two centuries ago--quite creatively, it would seem--to provide substance for legend. """,someone,forging,A single inscription,0.0,0.0,0.0,1.0,1.0
123,0.9280465022503318,"As governor, Pontius Pilate was responsible for minting coins in province: Pontius Pilate appears to have struck minting coins in province in 29 30, 30 31, and 31 32, thus fourth, fifth, and sixth years of Pontius Pilate governorship.",Pontius Pilate,was,responsible for minting coins in province,0.0,1.0,1.0,1.0,1.0
